,Compound,Phase,Band gap (eV),VBM (eV),CBM (eV),Compound mass,Compound type,Phase index,Average radius,HSE-gap (eV),HSE-VBM (eV),HSE-CBM (eV),Vacuum level (eV),VBM absolute (eV),CBM absolute (eV),HSE vacuum level (eV),HSE VBM absolute (eV),HSE CBM absolute (eV)
11,BF,BF_0,3.13638709677,-1.16738709677,1.98338709677,14.9047,III-VII,0,64.5,4.63355555556,-2.13877777778,2.49477777778,4.24044546499,-5.407832561759999,-2.2570583682199996,4.09952491711,-6.238302694890001,-1.6047471393300001
12,BF,BF_1,0.184363636364,-3.71036363636,-3.51063636364,14.9047,III-VII,1,64.5,1.46666666667,-4.49333333333,-3.02666666667,2.29191489897,-6.002278535329999,-5.802551262610001,2.3180366598,-6.8113699931300005,-5.34470332647
13,BF,BF_2,0.0,-0.15773519,-0.15773519,14.9047,III-VII,2,64.5,0.0,-0.44985878,-0.44985878,5.89374089897,-6.05147608897,-6.05147608897,6.08549660554,-6.535355385540001,-6.535355385540001
14,BCl,BCl_0,0.0,-2.90410238,-2.90410238,23.13185,III-VII,0,83.0,0.6375,-3.33425,-2.69675,2.49303735229,-5.39713973229,-5.39713973229,2.49952889324,-5.83377889324,-5.196278893240001
15,BCl,BCl_1,0.456,-1.766,-1.298,23.13185,III-VII,1,83.0,1.73254545455,-2.51127272727,-0.778727272727,2.96633011429,-4.73233011429,-4.26433011429,2.98543345742,-5.49670618469,-3.764160730147
16,BCl,BCl_2,0.0,1.19022934,1.19022934,23.13185,III-VII,2,83.0,0.0,1.01746372,1.01746372,2.98720834954,-1.79697900954,-1.79697900954,3.04842983296,-2.03096611296,-2.03096611296
17,BBr,BBr_0,1.49564534884,-3.58464534884,-2.08035465116,45.1575,III-VII,0,90.5,2.80333333333,-4.23166666667,-1.42833333333,1.59976336031,-5.18440870915,-3.6801180114700003,1.5887663728,-5.82043303947,-3.01709970613
18,BBr,BBr_1,2.30155760369,-4.57055760369,-2.25844239631,45.1575,III-VII,1,90.5,3.42964285714,-5.22932142857,-1.79967857143,1.94829216628,-6.51884976997,-4.20673456259,1.89712279514,-7.126444223709999,-3.69680136657
19,BBr,BBr_2,0.0,-1.26195253,-1.26195253,45.1575,III-VII,2,90.5,0.0,-1.33090283,-1.33090283,2.66485820094,-3.9268107309399998,-3.9268107309399998,2.70079813511,-4.03170096511,-4.03170096511
20,BI,BI_0,0.442767857143,-0.498767857143,-0.0482321428571,68.857735,III-VII,0,101.0,0.87375,-0.664375,0.209375,3.20188638288,-3.7006542400230003,-3.2501185257371,3.2116999225,-3.8760749225,-3.0023249224999997
